0 48,2282,2481,87.3005,120,8.02096
1 48,2216,2941,4.47617,120,24.6515
2 48,2206,3679,27.2091,120,40.0381
3 48,2184,3504,94.2753,120,37.6712
4 48,2184,3160,21.0561,120,30.8861
5 48,2221,4441,117.074,120,49.9887
0 171,3833,3833,0,240,0
1 171,10225,11895,207.813,240,14.0395
2 171,9925,12144,59.1744,240,18.2724
3 171,10155,14665,177.222,240,30.7535
4 171,10212,13584,72.2402,240,24.8233
0 403,3568,3568,0,360,0
1 403,4308,4674,94.3046,360,7.83055
2 403,4364,4776,279.902,360,8.62647
3 403,4290,4932,59.4046,360,13.017
