0 48,1952,2481,0.0450345,120.001,21.322
1 48,1952,1952,0,120,0
2 48,1948,2112,0.0119197,120,7.76515
3 48,1948,1948,0,120,0
4 48,1899,2100,0.0149173,120,9.57143
5 48,1899,1899,0,120,0
6 48,1982,1982,0,120.001,0
7 48,1924,2288,0.022453,120.001,15.9091
8 48,1924,1924,0,120,0
9 48,1986,2014,0.0185076,120,1.39027
0 171,3756,3833,1.96954,240,2.00887
1 171,3508,3756,4.06089,240.001,6.60277
2 171,3508,3508,0,240,0
3 171,3583,4105,7.76481,240,12.7162
4 171,3583,3583,0,240.001,0
5 171,3677,3677,0,240,0
6 171,3298,3946,1.4224,240,16.4217
7 171,3298,3298,0,240,0
8 171,3501,3501,0,240,0
9 171,3793,3793,0,240,0
0 403,2517,3568,97.8221,360,29.4563
1 403,2480,2517,69.4416,360,1.47
2 403,2480,2480,0,360,0
3 403,2485,2498,28.4359,360,0.520416
4 403,2485,2485,0,360,0
5 403,2502,2502,0,360,0
6 403,2505,2507,30.1456,360,0.0797766
7 403,2494,2505,28.4991,360,0.439122
8 403,2494,2494,0,360,0
9 403,2516,2516,0,360,0
