0 48,2443,2481,0.0005613,120,1.53164
1 48,2419,3437,70.2503,120,29.6189
2 48,2483,4049,33.8567,120,38.6762
3 48,2422,4082,48.5065,120,40.6663
4 48,2457,3485,98.7051,120,29.4978
5 48,2327,3757,9.63415,120,38.0623
6 48,2451,4464,75.4488,120,45.0941
7 48,2326,3355,113.613,120,30.6706
8 48,2405,3316,59.7974,120,27.4729
9 48,2441,3793,73.7359,120,35.6446
0 171,3833,3833,0,240,0
1 171,10745,14088,138.662,240,23.7294
2 171,10990,13344,164.324,240,17.6409
3 171,10756,14742,77.0318,240,27.0384
4 171,10822,13159,19.6494,240,17.7597
5 171,10386,13813,4.55591,240,24.81
6 171,10311,14697,111.558,240,29.8428
7 171,10868,13013,63.1366,240,16.4835
8 171,10817,12891,106.251,240,16.0887
9 171,10773,13828,176.944,240,22.0929
0 403,3568,3568,0,360,0
1 403,4441,5114,171.918,360,13.16
2 403,4438,4860,211.248,360,8.68313
3 403,4390,4849,202.489,360,9.46587
4 403,4435,5013,231.356,360,11.53
5 403,4440,5090,141.759,360,12.7701
6 403,4436,4814,225.602,360,7.8521
7 403,4422,4962,331.463,360,10.8827
8 403,4425,4924,164.42,360,10.134
9 403,4428,4993,191.536,360,11.3158
