0 48,2338,2481,0.0217721,120,5.7638
1 48,2237,2338,0.0106739,120,4.31993
2 48,2237,2237,0,120,0
3 48,2391,2391,0,120,0
4 48,2527,2635,0.0150582,120,4.09867
5 48,2376,2527,0.0310909,120,5.97546
6 48,2085,2376,0.0123033,120,12.2475
7 48,2085,2085,0,120,0
8 48,2525,2525,0,120,0
9 48,2356,2739,0.0139801,120,13.9832
0 171,3833,3833,0,240,0
1 171,5239,5239,0,240,0
2 171,5179,5637,1.19167,240,8.12489
3 171,5179,5179,0,240,0
4 171,5430,5491,1.19654,240,1.11091
5 171,5430,5430,0,240,0
6 171,5598,5992,3.41055,240,6.57543
7 171,4991,5598,1.93043,240,10.8432
8 171,4991,4991,0,240,0
9 171,5277,5277,0,240,0
