0 48,2481,2481,0,120,0
1 48,2740,3687,0.0113852,120,25.6848
2 48,2740,2740,0,120,0
3 48,3134,3262,0.0148169,120,3.92397
4 48,3134,3134,0,120.001,0
5 48,3191,3478,0.0181231,120.001,8.25187
6 48,3191,3191,0,120.001,0
7 48,3168,3546,0.0143088,120,10.6599
8 48,2979,3168,0.0092402,120,5.96591
9 48,2979,2979,0,120.001,0
0 171,3833,3833,0,240.001,0
1 171,10150,10431,0.437833,240.001,2.69389
2 171,10150,10150,0,240,0
3 171,10082,10482,0.49679,240.001,3.81607
4 171,9957,10082,0.336062,240.001,1.23983
5 171,9957,9957,0,240.001,0
6 171,10656,10734,0.682234,240.001,0.726663
7 171,10093,10656,0.593423,240.001,5.28341
8 171,10093,10093,0,240.001,0
9 171,10732,10732,0,240.001,0
