0 403,3568,3568,0,360,0
1 403,4416,4805,254.666,360,8.09573
2 403,4413,4902,7.46611,360,9.97552
3 403,4432,4683,204.06,360,5.35981
4 403,4392,4833,10.8021,360,9.12477
5 403,4433,5048,61.7964,360,12.183
0 171,3833,3833,0,240,0
1 171,10718,15451,210.418,240,30.6323
2 171,10841,14942,83.425,240,27.4461
3 171,10596,13571,156.673,240,21.9217
4 171,10711,13719,194.454,240,21.9258
5 171,10757,14557,190.962,240,26.1043
0 48,2356,2481,54.1721,120,5.03829
1 48,2391,4131,6.62481,120,42.1206
2 48,2404,4110,1.71375,120,41.5085
3 48,2402,3663,49.7238,120,34.4253
4 48,2359,3277,11.5153,120,28.0134
5 48,2370,3686,12.8696,120,35.7027
